,n_estimators,criterion,min_samples_split,min_samples_leaf,min_weight_fraction_leaf,min_impurity_decrease,ccp_alpha,mean_score,score0,score1,score2,score3,score4,metric_mae0,metric_mae1,metric_mae2,metric_mae3,metric_mae4,mean_metric_mae,metric_std_error0,metric_std_error1,metric_std_error2,metric_std_error3,metric_std_error4,mean_metric_std_error,metric_r20,metric_r21,metric_r22,metric_r23,metric_r24,mean_metric_r2,metric_adjusted_r20,metric_adjusted_r21,metric_adjusted_r22,metric_adjusted_r23,metric_adjusted_r24,mean_metric_adjusted_r2,mean_time_train,mean_time_pred,time_train0,time_train1,time_train2,time_train3,time_train4,time_pred0,time_pred1,time_pred2,time_pred3,time_pred4
10,489,mse,2,7,0.19944521578213575,0.19377434827517326,0.15713060365647086,-0.0030701369490224286,-0.0013945685583358625,-0.007225097805145131,-0.0012305821576699127,-0.005371221524985259,-0.00012921469897597682,0.316968103810815,0.34313191194882575,0.3347365658735945,0.3435838455179837,0.33260442514854965,0.33420497045995373,0.20137814288984163,0.20475054673342963,0.20408355440334633,0.2027754605569531,0.20006089070322733,0.2026097190573596,-0.0013945685583358625,-0.007225097805145131,-0.0012305821576699127,-0.005371221524985259,-0.00012921469897597682,-0.0030701369490224286,-0.02186600777928982,-0.027815730128248672,-0.021698669016088967,-0.025923955184780523,-0.02057478637936394,-0.023575829697554385,0.00015188310543696088,3.41808795928955e-05,0.00015000591675440471,0.00015905131896336874,0.00015403846899668375,0.00014844506978988647,0.00014787475268046062,3.572543462117513e-05,3.4772555033365885e-05,3.4125645955403644e-05,3.307024637858073e-05,3.3210515975952145e-05
11,122,mse,3,20,0.007412844820831645,0.183202977195294,0.008186747793253171,-0.0010463121860134982,-1.1506447750164739e-07,-0.0009236683974331861,-0.003874155632092924,-0.0002752858418535453,-0.00015833599421033462,0.3164163551021109,0.3444545882871797,0.3291068528541576,0.34288382409918255,0.3380086069919536,0.33417404546691687,0.20230561359015442,0.200818802172586,0.197689095988186,0.2068305730801219,0.20397198939662986,0.20232321484553561,-1.1506447750164739e-07,-0.0009236683974331861,-0.003874155632092924,-0.0002752858418535453,-0.00015833599421033462,-0.0010463121860134982,-0.02044304757005455,-0.021385481039288612,-0.02439628487840495,-0.02072384364441282,-0.0206045029992028,-0.021510632026272746,3.8947860399882e-05,8.915344874064126e-06,3.88181209564209e-05,4.1884879271189374e-05,3.8118958473205565e-05,3.8089652856191e-05,3.7827690442403157e-05,9.040435155232748e-06,9.035269419352214e-06,9.107192357381184e-06,8.71896743774414e-06,8.674860000610351e-06
12,424,mae,3,20,0.19392470759581693,0.04818122049460295,0.0048600557222459725,0.1652799762017188,0.19649552375522938,0.18564105759985328,0.1348409763235291,0.13039709668984656,0.17902522664013576,0.2820186132253587,0.287284347434796,0.3166941424341292,0.30500323616906616,0.28520174108112806,0.2952404160688956,0.19497224096498753,0.19637925371029843,0.20085067340000165,0.2085761848054587,0.199886699121628,0.20013301040047488,0.19649552375522938,0.18564105759985328,0.1348409763235291,0.13039709668984656,0.17902522664013576,0.1652799762017188,0.180069537869476,0.168993174620634,0.11715459083099478,0.11261986527635104,0.16224209669070078,0.14821585305763132,0.007608555495738983,3.220526377360026e-05,0.007918978532155355,0.007923866808414459,0.0072921936710675555,0.007536777555942536,0.007370960911115011,3.5347938537597654e-05,3.093282381693522e-05,3.1261444091796876e-05,3.236134847005208e-05,3.1122763951619465e-05
13,474,mse,3,17,0.025810591866299422,0.00690707185794235,0.19590078291126245,-0.003897201675780071,-0.0021952630359773906,-6.342313856988469e-05,-0.002732796569766105,-0.006186605706511417,-0.008307919928075558,0.33939257717986865,0.32974266206603015,0.335852453742431,0.33437958259683687,0.33248097023372597,0.3343696491637785,0.1969357932808781,0.1983318569221043,0.20979335750410882,0.19613227523364432,0.21151920285086417,0.20254249715831993,-0.0021952630359773906,-6.342313856988469e-05,-0.002732796569766105,-0.006186605706511417,-0.008307919928075558,-0.003897201675780071,-0.02268307079821197,-0.02050764984668385,-0.023231593092487124,-0.026756008208177695,-0.02892068830820671,-0.02441980205075347,0.00031067778666814163,3.2562971115112307e-05,0.00031144142150878906,0.0003118439515431722,0.00031033972899119057,0.00031037787596384684,0.00030938595533370973,3.221432367960612e-05,3.406167030334473e-05,3.242850303649902e-05,3.193060557047526e-05,3.217975298563639e-05
14,151,mae,18,18,0.19458899795871143,0.19660549917735637,0.19549422758913582,-0.03241981718313784,-0.017454268266055672,-0.014311402497271253,-0.05459707637504141,-0.0496650525140756,-0.026071286263245286,0.3269049692131746,0.3300859983213903,0.3407620053425895,0.3285588946276948,0.328046978798801,0.33087176926073003,0.2163063805512857,0.21591928614146344,0.2222076463676673,0.2229329903525545,0.21719083574344758,0.21891142783128373,-0.017454268266055672,-0.014311402497271253,-0.05459707637504141,-0.0496650525140756,-0.026071286263245286,-0.03241981718313784,-0.03825401480641788,-0.03504689965224084,-0.07615613074727401,-0.071123281867004,-0.04704718990065393,-0.053525503394718135,0.0020674376487731937,1.1935790379842123e-05,0.0021108068029085797,0.002073942720890045,0.0020697517196337383,0.002040339012940725,0.002042347987492879,1.2595256169637044e-05,1.2298822402954102e-05,1.2097358703613282e-05,1.1375745137532552e-05,1.1311769485473633e-05
15,500,mae,2,1,0.2,0.2,0.0,-0.031952747439978293,-0.02082416798035691,-0.043640241306678096,-0.04202800263223372,-0.04088836047345401,-0.012382964807168717,0.33286422780731084,0.3167437271156048,0.3306208464206646,0.3386111114469662,0.3347651508498505,0.33072101272807936,0.21736607938042438,0.22184096819713228,0.21586183566760989,0.2208371723369537,0.218462594342445,0.21887372998491306,-0.02082416798035691,-0.043640241306678096,-0.04202800263223372,-0.04088836047345401,-0.012382964807168717,-0.031952747439978293,-0.04169280514520257,-0.06497530586490674,-0.06333010830785013,-0.0621671685240186,-0.03307903904513476,-0.05304888537742256,0.0068243904908498135,3.386346499125162e-05,0.007099036872386932,0.006993676920731862,0.006623495817184449,0.00669821043809255,0.0067075324058532716,3.4985939661661786e-05,3.57361634572347e-05,3.1725565592447916e-05,3.152688344319661e-05,3.5342772801717125e-05
16,93,mae,3,2,0.007965675603259116,0.19706489113572268,0.1872996653959459,-0.031053946872510084,-0.030606549824261142,-0.02991136925469151,-0.03602760339457056,-0.026502338116747737,-0.032221873772279475,0.3330792849213649,0.31585047406582994,0.3348711955748274,0.329096780101929,0.34043078981980895,0.33066570489675207,0.21959342632439838,0.21417079121271554,0.22106771133357309,0.2214205050073489,0.21894551693075395,0.21903959016175797,-0.030606549824261142,-0.02991136925469151,-0.03602760339457056,-0.026502338116747737,-0.032221873772279475,-0.031053946872510084,-0.0516751675378746,-0.05096577544047731,-0.05720704332767945,-0.047487053717090166,-0.05332351344053743,-0.05213171069273179,0.0013019033074378968,7.274230321248373e-06,0.0012955028812090556,0.0013245444496472678,0.0013008075952529907,0.001295154591401418,0.0012935070196787516,7.338126500447591e-06,7.367531458536784e-06,7.486343383789062e-06,6.851355234781901e-06,7.327795028686523e-06
17,36,mse,7,1,0.1874744556278393,0.0013595123983378703,0.17869902365044654,-0.0018910518127926324,-0.001675209336279071,-0.0061301278742054155,-1.1419163862713688e-05,-5.692543789681537e-06,-0.00163281014582628,0.33537905706582505,0.3523868669702989,0.32991125400234256,0.32643321690258276,0.32681894289379954,0.3341858675669698,0.20483488314497594,0.20884661977268296,0.19973238927470213,0.19699743480903134,0.20185019650455768,0.20245230470119,-0.001675209336279071,-0.0061301278742054155,-1.1419163862713688e-05,-5.692543789681537e-06,-0.00163281014582628,-0.0018910518127926324,-0.02215238567705491,-0.02669837580349066,-0.02045458275835399,-0.020448739069386823,-0.02210911972291285,-0.022372640606239846,1.5279670556386314e-05,3.4197171529134107e-06,1.5790462493896485e-05,1.569598913192749e-05,1.4967123667399088e-05,1.4971693356831869e-05,1.4973084131876628e-05,3.3803780873616535e-06,3.970066706339518e-06,3.157854080200195e-06,3.258387247721354e-06,3.331899642944336e-06
18,47,mae,20,18,0.18062704425226248,0.1964365711297386,0.19610608819788103,-0.03166370064132078,-0.04727723502228054,-0.016093218111300933,-0.046888012578929716,-0.030562184220668476,-0.017497853273424235,0.3361417227273147,0.3239576010963057,0.33440386614606354,0.3246871553306995,0.3350244735854751,0.33084296377717165,0.2202683376392158,0.211125989112826,0.21932231225149076,0.2185430415101637,0.22474177025564115,0.21880029015386748,-0.04727723502228054,-0.016093218111300933,-0.046888012578929716,-0.030562184220668476,-0.017497853273424235,-0.03166370064132078,-0.06868665038900512,-0.03686514079841441,-0.06828947109843075,-0.05162989497134651,-0.038298490819048014,-0.05275392961524896,0.0006688016454378764,4.2460759480794274e-06,0.0006587063272794088,0.0006559489170710245,0.0006834607323010762,0.0006862255930900574,0.000659666657447815,4.350741704305013e-06,4.02530034383138e-06,4.1961669921875e-06,4.338820775349935e-06,4.319349924723307e-06
19,487,mse,17,2,0.012668928565628871,0.0016773003633992149,0.1952393926476778,-0.0027935539641676054,-0.0028396454647319214,-5.614988855384695e-05,-0.004628956855060595,-0.0035403514890848253,-0.0029026661234068385,0.33066957408633146,0.34329287010182225,0.33655442459440726,0.33734615343588414,0.3232881685790802,0.3342302381595051,0.20158692366970843,0.20018017811276462,0.1981470149173359,0.20941298850809353,0.20369993397520827,0.20260540783662218,-0.0028396454647319214,-5.614988855384695e-05,-0.004628956855060595,-0.0035403514890848253,-0.0029026661234068385,-0.0027935539641676054,-0.02334062629194955,-0.020500227910125624,-0.02516651645005319,-0.024055656800616276,-0.023404935277548056,-0.02329359254605854,0.000392969290415446,3.452658653259277e-05,0.00039316356182098386,0.0003894391655921936,0.0003893885016441345,0.0003877494732538859,0.0004051057497660319,3.493110338846842e-05,3.499031066894531e-05,3.3800204594930016e-05,3.384629885355632e-05,3.50650151570638e-05
20,378,mse,16,2,0.15516429531052156,0.023984638013255094,0.024010175261389197,0.28526311600098525,0.2782644406534972,0.2832145486478932,0.2913160551567022,0.28535222455485243,0.28816831099198126,0.28109447751725164,0.2817887878018203,0.27756992739033753,0.281320956829954,0.2741980052046747,0.2791944309488076,0.17704312190110216,0.18106671579495914,0.1739325765023052,0.17465248464310085,0.17510532136335305,0.17636004404096411,0.2782644406534972,0.2832145486478932,0.2913160551567022,0.28535222455485243,0.28816831099198126,0.28526311600098525,0.2635100510246079,0.2685613537309848,0.27682847877148997,0.2707427299972003,0.2736163854926691,0.27065179980339044,0.0001582308808962504,3.442772229512532e-05,0.00016089747349421184,0.00015842248996098836,0.00015745033820470174,0.00015712469816207884,0.00015725940465927124,3.0785401662190756e-05,3.119905789693196e-05,3.036220868428548e-05,3.052870432535807e-05,4.926323890686035e-05
21,500,mae,2,20,0.05179083521881997,0.02815173916874802,0.03041915978529816,0.38508113244945724,0.37126147465786286,0.38030019448036334,0.36629586832388183,0.402736489203129,0.404811635582049,0.251905838474871,0.24703674130719874,0.2547839873395491,0.24766508524375666,0.2550482396375121,0.2512879784005776,0.17437835771763502,0.17673777414113007,0.17770047729605362,0.1714020406700401,0.17400950089037834,0.17484563014304744,0.37126147465786286,0.38030019448036334,0.36629586832388183,0.402736489203129,0.404811635582049,0.38508113244945724,0.3584082168995909,0.36763171464009814,0.3533410990221554,0.39052667296878063,0.39264424142018284,0.37251038899016153,0.01263806794087092,3.779300053914388e-05,0.012859953542550404,0.012647525866826376,0.012468818724155426,0.012798672715822856,0.012415368854999543,3.796458244323731e-05,3.847161928812663e-05,3.7464698155721026e-05,3.7374496459960935e-05,3.7689606348673505e-05
22,10,mse,2,1,0.06772221064650658,0.03186015802696961,0.024044598571362347,0.3334680955215884,0.3202967989704517,0.34819132396167085,0.3011960633232782,0.33391658896263765,0.3637397023899033,0.2677955596013644,0.25614726026558615,0.27838566754454735,0.27294079477490035,0.25838520116986596,0.2667308966712528,0.18459069067432712,0.17541563607007807,0.17568189334290116,0.16935168464485362,0.16761505746482513,0.17453099243939701,0.3202967989704517,0.34819132396167085,0.3011960633232782,0.33391658896263765,0.3637397023899033,0.3334680955215884,0.3064016739068153,0.3348664447240901,0.2869104632549295,0.3202998923145144,0.35073267756652826,0.3198422303533755,5.618850390116374e-06,1.5815893809000649e-06,6.769398848215739e-06,5.3584575653076175e-06,5.1881869633992515e-06,5.38945198059082e-06,5.388756593068441e-06,1.6045570373535157e-06,1.5827020009358725e-06,1.5942255655924479e-06,1.5751520792643229e-06,1.5513102213541667e-06
23,28,mae,13,11,0.19091659947498707,0.0,0.0,0.3083583641854609,0.33176921716965735,0.3010784764502632,0.2904300045901983,0.3134314627708529,0.305082659946333,0.26069322388182703,0.2699480704715568,0.27481079262515096,0.25461906502289633,0.26256550462968087,0.2645273313262224,0.18179992304377385,0.19846610077987872,0.1904816297715078,0.1882125374441091,0.18176287208821354,0.1881446126254966,0.33176921716965735,0.3010784764502632,0.2904300045901983,0.3134314627708529,0.305082659946333,0.3083583641854609,0.3181086219499569,0.28679047256168255,0.2759243147351427,0.2993959901188089,0.2908765133012836,0.2942191825333749,0.0006327542861302695,3.258069356282552e-06,0.0006487626830736796,0.0006479200720787048,0.0006343855460484823,0.0006230889757474264,0.0006096141537030538,3.4217039744059245e-06,3.210306167602539e-06,3.3684571584065756e-06,3.399848937988281e-06,2.89003054300944e-06
24,10,mse,20,1,0.2,0.0,0.01472637000168253,0.20963437739016805,0.21435004809478664,0.1918655267876327,0.22072778655404635,0.21672039792528708,0.20450812758908765,0.29709156345573057,0.29584380772869473,0.2890124983638209,0.2919659779726922,0.2898826426578569,0.29275929803575906,0.18994195695834792,0.1962430982970943,0.1799680101793494,0.178612769245564,0.18747548106711986,0.18644826314949509,0.21435004809478664,0.1918655267876327,0.22072778655404635,0.21672039792528708,0.20450812758908765,0.20963437739016805,0.19828906100302757,0.17534489019726063,0.20479717912414608,0.20070786772955185,0.18824594280385598,0.19347698817156841,4.8655271530151364e-06,1.5244483947753907e-06,6.550451119740804e-06,4.447301228841146e-06,4.441340764363607e-06,4.478891690572103e-06,4.409650961558024e-06,1.591046651204427e-06,1.5497207641601562e-06,1.498858133951823e-06,1.4905134836832683e-06,1.4921029408772787e-06
25,10,mae,15,20,0.005659036243174017,0.011219635019785543,0.007674408638251518,0.5273139463026879,0.5134789296259861,0.5348730303558717,0.5043360942919892,0.513451556894309,0.570430120345284,0.21756994610671385,0.21203848043619133,0.21355284000050082,0.2173919938089993,0.20520597005525498,0.2131518460815321,0.17340265570376237,0.15704368366209376,0.16428170110601467,0.16715253697222396,0.15353735083900888,0.16308358565662073,0.5134789296259861,0.5348730303558717,0.5043360942919892,0.513451556894309,0.570430120345284,0.5273139463026879,0.5035330133662107,0.5253644722030104,0.49420327168807754,0.5035050810556918,0.5616484532995316,0.5176508583225045,0.00032662606239318843,2.1253426869710287e-06,0.00033587515354156495,0.00031803299983342487,0.000330433448155721,0.0003219206134478251,0.0003268680969874064,2.1537144978841146e-06,1.8040339152018229e-06,2.169211705525716e-06,2.8705596923828123e-06,1.629193623860677e-06
26,500,mse,2,16,0.021041347708854727,0.0012325560980543495,0.007728488227808299,0.6312180368228718,0.6619116687324684,0.6243155665745053,0.6081395609097768,0.6374274514135814,0.6242959364840271,0.186611818909071,0.19361423223889185,0.20549523758913926,0.18551384317442524,0.19411668200030288,0.19307036278236603,0.13199535809465254,0.14134656916284252,0.13767485528076595,0.13316056356805575,0.1430569808645336,0.13744686539417006,0.6619116687324684,0.6243155665745053,0.6081395609097768,0.6374274514135814,0.6242959364840271,0.6312180368228718,0.6550001525907131,0.6166354759422975,0.6001287853236054,0.6300154061273173,0.6166154445552509,0.6236790529078368,0.0003623109857241313,4.960950215657552e-05,0.00037694096565246585,0.0003600996732711792,0.0003613123297691345,0.000359610120455424,0.0003535918394724528,5.1058133443196615e-05,4.972100257873535e-05,5.005915959676107e-05,4.8928260803222656e-05,4.828095436096191e-05
27,10,mae,20,1,0.2,0.009591017099349577,0.015515692386195316,0.25369538243232076,0.25776883209871293,0.2556759442133464,0.2680627523828947,0.22410906218109927,0.2628603212855506,0.2760325433264625,0.28456508633616895,0.27110970084454794,0.2851402057786218,0.2649906443783458,0.27636763613282944,0.18772866733517732,0.19545208849546494,0.18706845117407614,0.2004903640468272,0.19642019470067867,0.19343195315044484,0.25776883209871293,0.2556759442133464,0.2680627523828947,0.22410906218109927,0.2628603212855506,0.25369538243232076,0.24259545217568834,0.24045977952946251,0.25309981035324347,0.208247577932672,0.24779102632034888,0.23843872926228302,0.00021820890903472898,1.7595291137695312e-06,0.00021852185328801474,0.00021849612394968669,0.00021952688694000245,0.00021664232015609742,0.00021785736083984375,1.739660898844401e-06,2.3726622263590494e-06,1.5044212341308593e-06,1.498858133951823e-06,1.6820430755615234e-06
28,163,mae,7,19,0.16677369920245222,0.0,0.030045052456339195,0.2839121271432347,0.3159821972548944,0.2775143536640454,0.27074351790233686,0.28522597210097955,0.2700945947939175,0.25749266067183146,0.2597131961011909,0.27774614454235963,0.275087702930006,0.2864219443394494,0.2712923297169675,0.181267001146419,0.19362488854516005,0.19404206276769298,0.1837559920125581,0.18899421892632384,0.1883368326796308,0.3159821972548944,0.2775143536640454,0.27074351790233686,0.28522597210097955,0.2700945947939175,0.2839121271432347,0.3019988690897475,0.2627446300592218,0.2558353785749571,0.2706138965732312,0.2551731895767574,0.269273192774783,0.003638667662938436,1.3215382893880208e-05,0.0037894479433695475,0.00358169158299764,0.00356174369653066,0.0037000387907028197,0.0035604163010915122,1.3879537582397462e-05,1.2843608856201171e-05,1.2838443120320639e-05,1.3651053110758464e-05,1.2864271799723307e-05
