,n_neighbors,weights,p,mean_score,score0,score1,score2,score3,score4,metric_mae0,metric_mae1,metric_mae2,metric_mae3,metric_mae4,mean_metric_mae,metric_std_error0,metric_std_error1,metric_std_error2,metric_std_error3,metric_std_error4,mean_metric_std_error,metric_r20,metric_r21,metric_r22,metric_r23,metric_r24,mean_metric_r2,metric_adjusted_r20,metric_adjusted_r21,metric_adjusted_r22,metric_adjusted_r23,metric_adjusted_r24,mean_metric_adjusted_r2,mean_time_train,mean_time_pred,time_train0,time_train1,time_train2,time_train3,time_train4,time_pred0,time_pred1,time_pred2,time_pred3,time_pred4
10,15,uniform,2.0,0.5057037608650043,0.5128127037315071,0.49330249180284047,0.5171119346385449,0.5021231354399092,0.5031685387122202,0.1819393160687626,0.18608353415512724,0.18697519245847702,0.17744893956174776,0.18706145568773178,0.1839016875863693,0.15415702290997021,0.1570553032976724,0.15473301573464548,0.1533554501982115,0.15372341596995473,0.15460484162209087,0.5128127037315071,0.49330249180284047,0.5171119346385449,0.5021231354399092,0.5031685387122202,0.5057037608650043,0.5061422894316849,0.48636494985490775,0.5105003840478961,0.4953063629535388,0.49636607955665735,0.498936013168937,3.2352447509765624e-06,0.00044744002819061283,4.7970414161682126e-06,2.817392349243164e-06,2.774268388748169e-06,2.8910040855407715e-06,2.896517515182495e-06,0.00044935381412506103,0.0004480816125869751,0.0004455258846282959,0.00044909632205963136,0.0004451425075531006
11,9,distance,2.0,0.5086709891782111,0.5135275328679081,0.49734554362988337,0.5072491004535663,0.5158757381749504,0.509357030764747,0.1850787263556972,0.1853709897149561,0.1830434828172923,0.17775314119345004,0.1823018120131205,0.18270963041890323,0.1563799157420549,0.1578562302017707,0.15801310860583143,0.1490411939094641,0.15355863325351946,0.15496981634252813,0.5135275328679081,0.49734554362988337,0.5072491004535663,0.5158757381749504,0.509357030764747,0.5086709891782111,0.5068669057824281,0.4904633578682236,0.5005025110581537,0.5092472619734918,0.5026393024841427,0.501943867833288,2.9247462749481205e-06,0.0004541430711746216,3.060966730117798e-06,2.8588473796844484e-06,2.929806709289551e-06,2.852320671081543e-06,2.9217898845672608e-06,0.0004536014795303345,0.00045394158363342286,0.00045537996292114257,0.0004535846710205078,0.0004542076587677002
12,13,distance,2.0,0.5123838314322573,0.516921131871974,0.5223121238324704,0.49727370342515487,0.510987447822074,0.5144247502096132,0.18350264574478314,0.18172080387781836,0.18127846794366956,0.18261830348549568,0.18517133509677017,0.1828583112297074,0.15200082300495038,0.15388250430788641,0.15028332157357854,0.15811118942641592,0.1517072812800118,0.1531970239185686,0.516921131871974,0.5223121238324704,0.49727370342515487,0.510987447822074,0.5144247502096132,0.5123838314322573,0.5103069688702211,0.515771772586769,0.4903905340501443,0.5042920426959057,0.5077764075400694,0.5057075451486219,2.8027474880218507e-06,0.0004578611373901367,2.9240548610687254e-06,2.774447202682495e-06,2.7723312377929688e-06,2.7683675289154054e-06,2.774536609649658e-06,0.00045900583267211915,0.00045812201499938963,0.00045679962635040283,0.00045754992961883543,0.0004578282833099365
13,10,uniform,2.0,0.5020394410933189,0.511508265978084,0.5082431833354861,0.4928815264829097,0.5142575115673117,0.48330671810280224,0.1854323535347435,0.18249008941760395,0.18729324686545068,0.1831695565827548,0.182956376802794,0.1842683246406694,0.1496831385965725,0.1551939395155231,0.1617186070821549,0.151747361808663,0.1591889689445605,0.1555064031894948,0.511508265978084,0.5082431833354861,0.4928815264829097,0.5142575115673117,0.48330671810280224,0.5020394410933189,0.5048199917293053,0.5015102046083351,0.48593822081102256,0.5076068791191968,0.47623231718433146,0.49522152269043823,2.7554094791412356e-06,0.0004474395990371704,2.7770400047302247e-06,2.757132053375244e-06,2.745687961578369e-06,2.7520358562469483e-06,2.7451515197753905e-06,0.00044787752628326416,0.00044613254070281983,0.0004480624198913574,0.0004473634958267212,0.00044776201248168944
14,15,distance,2.0,0.5122606452475794,0.49746889262937755,0.5120358068974362,0.5098581772590112,0.5275111728656556,0.5144291765864164,0.18532133649427926,0.18520679014964894,0.18877440292419825,0.17734794315847519,0.17745287977679947,0.18282067050068024,0.15525428470931724,0.15336603127023676,0.1581392708907572,0.14868907502399306,0.15165259150975272,0.1534202506808114,0.49746889262937755,0.5120358068974362,0.5098581772590112,0.5275111728656556,0.5144291765864164,0.5122606452475794,0.49058839572318746,0.5053547555719955,0.5031473105176285,0.5210420053541813,0.507780894521423,0.5055826723376831,2.7794122695922856e-06,0.0004554111242294312,2.8040409088134764e-06,2.788752317428589e-06,2.7721524238586426e-06,2.7635097503662108e-06,2.768605947494507e-06,0.0004568856954574585,0.00045600581169128417,0.0004561284780502319,0.00045381903648376463,0.0004542165994644165
15,13,uniform,2.0,0.5072274674400363,0.5091982922910031,0.5126749751485211,0.5094076807766705,0.511688048187931,0.49316834079605587,0.18204507541960918,0.18352007269181242,0.187458304861354,0.18113499961911816,0.1849599720337198,0.18382368492512272,0.1494898617162792,0.15477090243490055,0.15520342504248294,0.15184089632599815,0.1586224414524977,0.15398550539443173,0.5091982922910031,0.5126749751485211,0.5094076807766705,0.511688048187931,0.49316834079605587,0.5072274674400363,0.5024783906134458,0.5060026751125222,0.5026906459800022,0.505002235460281,0.48622896209498767,0.5004805818522479,2.8946459293365476e-06,0.00044991042613983157,2.982825040817261e-06,2.8451979160308836e-06,2.9111802577972414e-06,2.833634614944458e-06,2.9003918170928954e-06,0.0004500401020050049,0.00044940459728240966,0.0004516531229019165,0.0004476017951965332,0.00045085251331329347
16,11,distance,2.0,0.5102202296903455,0.4934267428903615,0.5063639964130244,0.5208661553089058,0.5160913980823472,0.5143528557570893,0.18742644020003685,0.185185239560103,0.18007421200425044,0.1763369860837484,0.18491063614859893,0.18278670279934753,0.15902188262936137,0.15601237852360544,0.15371760847083393,0.14724665120270003,0.15511687044131878,0.15422307825356393,0.4934267428903615,0.5063639964130244,0.5208661553089058,0.5160913980823472,0.5143528557570893,0.5102202296903455,0.48649090214900237,0.4996052884531622,0.5143060063197276,0.5094658746280993,0.5077035287314511,0.5035143200562885,2.912783622741699e-06,0.000453521728515625,2.978116273880005e-06,2.855837345123291e-06,2.941906452178955e-06,2.8603076934814453e-06,2.9277503490448e-06,0.0004537575244903564,0.0004536464214324951,0.0004537256956100464,0.0004514986276626587,0.00045498037338256836
17,8,uniform,2.018808535685071,0.4898211189208359,0.49302711327305515,0.493485761707117,0.5049583268424338,0.4867570547920729,0.4708773379895004,0.1849589529291592,0.18314184684363644,0.18331088816691607,0.18975478412788083,0.18853120008661658,0.18593953443084182,0.15512739727032432,0.15564168990787705,0.1565171116829676,0.16351400369301064,0.15971855010678204,0.15810375053219233,0.49302711327305515,0.493485761707117,0.5049583268424338,0.4867570547920729,0.4708773379895004,0.4898211189208359,0.48608580092943066,0.48655072903272156,0.49818037289960715,0.47972989479176154,0.46363275793154735,0.4828359111170136,2.7463614940643313e-06,0.008759834909439086,3.0907392501831054e-06,2.8172433376312258e-06,2.6213526725769042e-06,2.5907158851623537e-06,2.6117563247680663e-06,0.008822893857955932,0.008727255463600158,0.008620453000068664,0.008633248925209046,0.008995323300361633
18,15,uniform,2.0,0.5058689455577638,0.49983154393960283,0.4883083696722922,0.5135586914158929,0.510480914496724,0.5171652082643073,0.18915022137745405,0.19149642750974058,0.18163809930654737,0.17903739688414635,0.18012752626571,0.18428993426871965,0.15915769253690049,0.1561688247741756,0.1516193404075919,0.1496320531448834,0.15402326857029308,0.1541202358867689,0.49983154393960283,0.4883083696722922,0.5135586914158929,0.510480914496724,0.5171652082643073,0.5058689455577638,0.4929833957075386,0.48130244978443826,0.5068984909433925,0.5037785740765472,0.5105543870792851,0.4991034595182403,2.9252409934997557e-06,0.00045624520778656,3.0147731304168703e-06,2.8589963912963868e-06,2.9568374156951905e-06,2.8646886348724367e-06,2.9309093952178955e-06,0.00045611941814422606,0.0004573543071746826,0.00045700979232788085,0.00045522892475128175,0.000455513596534729
19,10,uniform,2.0,0.4987220953820774,0.48365449403640726,0.5045626295845991,0.48426099940410994,0.5003884064817138,0.5207439474035569,0.1825685515060027,0.18145187749147282,0.18837191958243749,0.18731509183769715,0.1852595619710429,0.1849934004777306,0.1538726458095782,0.15332906159062942,0.15973297167401565,0.15944432600196895,0.15289239476781294,0.15585427996880102,0.48365449403640726,0.5045626295845991,0.48426099940410994,0.5003884064817138,0.5207439474035569,0.4987220953820774,0.4765848547559727,0.49777925788012856,0.47719966420325344,0.4935478826353681,0.5141821251824088,0.4918587569314264,2.9131531715393067e-06,0.00043824758529663083,3.12572717666626e-06,2.8325021266937258e-06,2.8890967369079588e-06,2.826482057571411e-06,2.8919577598571776e-06,0.00044009184837341306,0.0004371018409729004,0.0004377182722091675,0.0004386632442474365,0.0004376627206802368
