,alpha,n_restarts_optimizer,mean_score,score0,score1,score2,score3,score4,metric_mae0,metric_mae1,metric_mae2,metric_mae3,metric_mae4,mean_metric_mae,metric_std_error0,metric_std_error1,metric_std_error2,metric_std_error3,metric_std_error4,mean_metric_std_error,metric_r20,metric_r21,metric_r22,metric_r23,metric_r24,mean_metric_r2,metric_adjusted_r20,metric_adjusted_r21,metric_adjusted_r22,metric_adjusted_r23,metric_adjusted_r24,mean_metric_adjusted_r2,mean_time_train,mean_time_pred,time_train0,time_train1,time_train2,time_train3,time_train4,time_pred0,time_pred1,time_pred2,time_pred3,time_pred4
15,9.99945391809707e-06,10,0.567508638238537,0.5757360137491425,0.580571260970091,0.5473701125971369,0.5664173305202764,0.5674484733560379,0.15276006744507944,0.14453179957241422,0.1492354442903162,0.15241702215609448,0.15428199804354967,0.15064526630149083,0.14959137020492813,0.14666132284000677,0.15754188749968584,0.16100097312335446,0.15582062070097158,0.15412323487378937,0.5757360137491425,0.580571260970091,0.5473701125971369,0.5664173305202764,0.5674484733560379,0.567508638238537,0.5670628147116463,0.5719969085538067,0.5381170314236542,0.5575536302924116,0.5586058527091425,0.5586672475381322,0.00024466611941655476,7.734783490498861e-05,0.00023778994878133138,0.00023903846740722657,0.00024796863396962484,0.0002483689785003662,0.00025016456842422483,7.337331771850586e-05,7.952451705932617e-05,7.880489031473796e-05,7.82020886739095e-05,7.683436075846354e-05
16,9.987323578641965e-06,0,0.5695129088925148,0.5856899245236153,0.5735483129442207,0.5673507362501279,0.5535325926378689,0.5674429781067409,0.14918906037992352,0.14160682920206363,0.15710357924330595,0.15256486544514727,0.1499310840689308,0.1500790836678742,0.1541365715360397,0.1461840041587948,0.15324709230038927,0.15524455798213438,0.16124192351021413,0.15401082989751444,0.5856899245236153,0.5735483129442207,0.5673507362501279,0.5535325926378689,0.5674429781067409,0.5695129088925148,0.577220212588834,0.5648303908919732,0.5585061175704031,0.5444054906134301,0.558600245120848,0.5607124913570978,0.0002430229187011719,7.838153839111329e-05,0.00023645629485448202,0.0002368895212809245,0.00024482429027557375,0.0002471134066581726,0.00024983108043670656,7.466673851013184e-05,8.0873171488444e-05,7.998824119567871e-05,7.97581672668457e-05,7.662137349446615e-05
17,1e-10,10,0.5662781980927862,0.5181233639834013,0.5737714829225291,0.5804133043977526,0.5478549605618774,0.6112278785983707,0.15869712509520914,0.15945325067991797,0.15116007550696806,0.14634873930518735,0.1408797060367748,0.15130777932481146,0.16732281098336782,0.1546497352812992,0.14286541821072984,0.1615952656148656,0.14165804626405926,0.15361825527086434,0.5181233639834013,0.5737714829225291,0.5804133043977526,0.5478549605618774,0.6112278785983707,0.5662781980927862,0.5082723935707962,0.5650581231185604,0.5718357228862927,0.5386117911014728,0.6032802372749984,0.557411653590424,0.00024283804496129353,7.339739799499512e-05,0.0002550684412320455,0.00023407379786173502,0.00024176865816116333,0.00024331063032150267,0.00023996869723002116,7.303675015767415e-05,7.404049237569173e-05,7.372419039408366e-05,7.50267505645752e-05,7.115880648295084e-05
18,1.7308558964806884e-08,0,0.5637798109746125,0.5382983110126593,0.5697262063548559,0.6049181416917699,0.5630297333187926,0.5429266624949849,0.15925561671594562,0.14461407592043682,0.15136697884835318,0.1479341418110102,0.15173741035780697,0.15098164473071055,0.16380772493449017,0.14739146812727083,0.14612297750632997,0.14939613262682147,0.167947017825758,0.15493306420413408,0.5382983110126593,0.5697262063548559,0.6049181416917699,0.5630297333187926,0.5429266624949849,0.5637798109746125,0.5288597756330203,0.5609301492445633,0.5968415108575302,0.5540967806779502,0.5335827441814242,0.5548621921188976,0.00023716241121292115,7.70103931427002e-05,0.00023644318183263142,0.00023294806480407714,0.00023906260728836059,0.00023821085691452026,0.00023914734522501626,7.273077964782715e-05,7.898370424906413e-05,7.836262385050456e-05,7.888118426005046e-05,7.60936737060547e-05
19,9.994328805222114e-06,10,0.5696160603495537,0.552465929652656,0.5736049855395208,0.6110959132189014,0.5576477911799109,0.5532656821567795,0.15211502850078248,0.15436977849143674,0.14163166482266523,0.15769220731150313,0.14759497430252097,0.15068073068578172,0.15754333665952033,0.15070154569634,0.14318812410111975,0.16105210728527347,0.15325979275128573,0.15314898129870785,0.552465929652656,0.5736049855395208,0.6110959132189014,0.5576477911799109,0.5532656821567795,0.5696160603495537,0.5433170219113134,0.5648882220411805,0.603145574136494,0.5486048158718342,0.5441331237000187,0.5608177515321682,0.0002392237186431885,8.072924613952636e-05,0.00023806244134902955,0.00023344218730926515,0.00024131576220194498,0.00024205287297566732,0.0002412453293800354,7.784684499104817e-05,8.303085962931315e-05,8.231918017069498e-05,8.20016860961914e-05,7.844765981038412e-05
20,9.98988323769239e-06,0,0.5645621411903573,0.539854298591484,0.5398934073104962,0.583338816547526,0.5743572153966554,0.5853669681056244,0.15843113617441587,0.15192060408450864,0.15116680024548487,0.1463188515933944,0.14771359574679185,0.15111019756891914,0.16268282399407274,0.1648185480159266,0.1465930208064463,0.15149099027600427,0.14830129700388003,0.15477733601926597,0.539854298591484,0.5398934073104962,0.583338816547526,0.5743572153966554,0.5853669681056244,0.5645621411903573,0.5304475721572384,0.5304874803730617,0.5748210410766066,0.5656558296807438,0.5768906539953476,0.5556605154565997,0.0002474201122919718,8.10517470041911e-05,0.0002520693341890971,0.0002514633536338806,0.00024652143319447837,0.0002454159657160441,0.00024163047472635906,9.144186973571778e-05,8.238593737284343e-05,8.080760637919108e-05,7.620573043823242e-05,7.44175910949707e-05
21,9.990076503021284e-06,0,0.5676664577317214,0.5400515939236522,0.5504616274589098,0.5706408511093304,0.6100740561361556,0.567104160030559,0.15758903039713176,0.15126813755353094,0.14971496580691868,0.14104652387433197,0.15852819706224064,0.1516293709388308,0.15963579722325838,0.15898377192731578,0.1487520158915344,0.14174033609475925,0.15596920986236237,0.15301622619984603,0.5400515939236522,0.5504616274589098,0.5706408511093304,0.6100740561361556,0.567104160030559,0.5676664577317214,0.5306489007841017,0.5412717459078142,0.5618634920178687,0.6021028273007789,0.5582545006104,0.5588282933241928,0.0002497282822926839,8.101924260457357e-05,0.0002570162216822306,0.00025273263454437254,0.0002479780713717143,0.0002455692489941915,0.00024534523487091065,8.978486061096191e-05,8.260170618693033e-05,8.023659388224284e-05,7.717212041219076e-05,7.530093193054199e-05
22,1e-05,0,0.5747990461274212,0.5930965392813514,0.5837188820566155,0.5974936550734993,0.5544507087631889,0.5452354454624507,0.14546962498315877,0.1484324295846625,0.14750024692756683,0.1593686421443745,0.1486658119919576,0.14988735112634405,0.14494980584346875,0.15169494428837016,0.148785749489568,0.15823345822064513,0.15781347983970906,0.15229548753635222,0.5930965392813514,0.5837188820566155,0.5974936550734993,0.5544507087631889,0.5452354454624507,0.5747990461274212,0.584778240254735,0.575208876238352,0.5892652459778979,0.5453423757225726,0.535938725437833,0.5661066927262782,0.00024420666694641114,7.513244946797689e-05,0.0002263517181078593,0.0002484100063641866,0.0002514442801475525,0.00025013118982315064,0.0002446961402893066,7.195711135864258e-05,7.798949877421061e-05,7.679541905721029e-05,7.413228352864583e-05,7.478793462117513e-05
23,1e-05,0,0.5674949933332731,0.5943790813161689,0.5442452858158553,0.5521814664734548,0.5564810760711361,0.5901880569897513,0.14851723757199292,0.15663688497915682,0.16204977546540864,0.15003638365669986,0.14381227920005155,0.15221051217466197,0.14634988270227547,0.15991215191562366,0.1590890317757034,0.1538256084729935,0.1433788834284583,0.15251111165901088,0.5943790813161689,0.5442452858158553,0.5521814664734548,0.5564810760711361,0.5901880569897513,0.5674949933332731,0.586087001206789,0.5349283240267415,0.5430267434712086,0.5474142496875818,0.5818103000627957,0.5586533236910233,0.00024252742528915405,7.652854919433595e-05,0.00022732208172480264,0.00024498512347539264,0.00024795005718866985,0.0002483329176902771,0.000244046946366628,7.911324501037597e-05,7.755319277445476e-05,7.815678914388021e-05,7.396419843037924e-05,7.385532061258951e-05
24,9.988180249652994e-06,10,0.5706479278772818,0.5804112676737698,0.5623899806706527,0.5961772729305136,0.5822742248591163,0.531986893252357,0.14543959010535884,0.15889539797336028,0.1465202240960478,0.14316874285276474,0.15844526707410622,0.1504938444203276,0.1522775607130302,0.16041277090062916,0.14519226337106828,0.14612854179588278,0.1615692764579952,0.1531160826477211,0.5804112676737698,0.5623899806706527,0.5961772729305136,0.5822742248591163,0.531986893252357,0.5706479278772818,0.5718336445257037,0.553443949611109,0.5879219531267081,0.5737346860146689,0.5224193340002758,0.5618707134556932,0.0002414857546488444,7.653538386027019e-05,0.0002264671524365743,0.00024345109860102337,0.00024684121211369833,0.00024738897879918414,0.00024328033129374186,7.906993230183919e-05,7.732391357421875e-05,7.840951283772786e-05,7.346232732137044e-05,7.441123326619467e-05
25,1e-05,0,0.5695644433532416,0.5137324296716324,0.5830625492868471,0.5844654619030313,0.5707097689097074,0.5958520069949901,0.16382168979159265,0.14621818397941846,0.14139328328485296,0.15617078446184687,0.14527597108445287,0.15057598252043275,0.1655534206217015,0.14989704164669176,0.14828966283246064,0.150604603138232,0.15288647440299996,0.15344624052841718,0.5137324296716324,0.5830625492868471,0.5844654619030313,0.5707097689097074,0.5958520069949901,0.5695644433532416,0.5037916956955839,0.574539126103614,0.575970718364422,0.561933818700025,0.5875900378023834,0.5607650793332056,0.00024564244349797567,7.844773928324381e-05,0.00022675941387812298,0.0002484381198883057,0.000252692699432373,0.0002515467007954915,0.00024877528349558515,7.954875628153482e-05,7.881561915079752e-05,8.091608683268229e-05,7.795850435892741e-05,7.499972979227702e-05
26,1e-05,0,0.5622695291561598,0.5635454612344939,0.5364933620437737,0.5624270730892582,0.5875466549768882,0.5613350944363853,0.15903015073143992,0.15480660746317498,0.15477718370119398,0.13931679136232097,0.15266820023691913,0.15211978669900977,0.15849455843345778,0.1582178520347831,0.14989281174516514,0.14830057359381926,0.1572615665536809,0.15443347247218125,0.5635454612344939,0.5364933620437737,0.5624270730892582,0.5875466549768882,0.5613350944363853,0.5622695291561598,0.5546230515834103,0.5270179282184335,0.5534818003074373,0.5791149000530766,0.5523674984112348,0.5533210357147185,0.0002494508822758992,8.115776379903159e-05,0.0002343211571375529,0.00025436460971832274,0.0002557632327079773,0.0002544779578844706,0.00024832745393117266,8.048812548319498e-05,9.134491284688314e-05,8.310516675313314e-05,7.735093434651693e-05,7.349967956542968e-05
27,9.977672551658202e-06,10,0.5676401733114581,0.5693657701542297,0.5981359289701386,0.5832741468077904,0.5224036570219541,0.5650213636031773,0.15217692090168788,0.14730688354721036,0.14498253531368485,0.15839044583917053,0.15236226110621223,0.15104380934159317,0.15286013680482868,0.14971156577395547,0.14440748631157393,0.1652203294733936,0.15592303114007058,0.15362450990076446,0.5693657701542297,0.5981359289701386,0.5832741468077904,0.5224036570219541,0.5650213636031773,0.5676401733114581,0.560562344671863,0.5899206498349454,0.5747550492978986,0.5126401883409719,0.5561291257211298,0.5588014715733618,0.0002446722388267517,8.555324872334799e-05,0.0002416283885637919,0.00024719883998235067,0.00024256199598312377,0.0002437289555867513,0.0002482430140177409,8.495171864827474e-05,8.658488591512045e-05,9.017467498779298e-05,8.493463198343913e-05,8.112033208211263e-05
28,1e-05,0,0.5701439997057351,0.5813594169574752,0.5442478171441766,0.591220397362402,0.5560451354078821,0.5778472316567398,0.14473637397952366,0.1462849662089486,0.1462731131082973,0.15347740256732464,0.1610148049540859,0.15035733216363603,0.14947516576804717,0.15451407301817577,0.15052781033860826,0.1558393515878274,0.15558022783998376,0.1531873257105285,0.5813594169574752,0.5442478171441766,0.591220397362402,0.5560451354078821,0.5778472316567398,0.5701439997057351,0.5728011767589909,0.534930907102831,0.5828637444975788,0.546969397119798,0.569217192099467,0.5613564835157332,0.000247653861840566,8.410644531250001e-05,0.00024246325095494587,0.0002508196234703064,0.0002496488889058431,0.0002455654740333557,0.0002497720718383789,8.407274881998698e-05,8.175690968831381e-05,8.605639139811198e-05,8.820056915283203e-05,8.044560750325521e-05
29,9.955191044420618e-06,10,0.5709656683872251,0.5378176990116543,0.5669095253955923,0.6132546971179347,0.5745512241462452,0.5622951962646988,0.1508419221556988,0.15244491970791046,0.14148321678282028,0.15182787623810293,0.1505812052528704,0.14943582802748057,0.15984613352920457,0.1536919348873525,0.14747023924164876,0.15064859817211187,0.1579014044734365,0.15391166206075085,0.5378176990116543,0.5669095253955923,0.6132546971179347,0.5745512241462452,0.5622951962646988,0.5709656683872251,0.5283693385144479,0.5580558870731853,0.6053484899039913,0.5658538045376504,0.5533472275341645,0.5621949495126879,0.0002422130306561788,8.387104670206706e-05,0.00022665599981943767,0.00024404585361480712,0.00024879048268000283,0.00024714549382527667,0.00024442732334136965,8.552352587381998e-05,8.394042650858561e-05,8.594393730163575e-05,8.382360140482584e-05,8.01237424214681e-05
30,1e-05,0,0.5749308899586074,0.5538089228116319,0.6130303609716821,0.5651318706006832,0.5717313230442067,0.5709519723648329,0.15665979058826057,0.1410047565414114,0.14823197537564095,0.1542600083916901,0.14800651856656147,0.14963260989271288,0.16298886856213016,0.1430769472497016,0.14890954433876347,0.15782943450349082,0.15003204945971896,0.152567368822761,0.5538089228116319,0.6130303609716821,0.5651318706006832,0.5717313230442067,0.5709519723648329,0.5749308899586074,0.5446874697856345,0.60511956766957,0.5562418918054671,0.5629762563943439,0.5621809735034666,0.5662412318316964,0.0002454686562220256,8.299708366394042e-05,0.0002456875642140706,0.0002461950977643331,0.00024396886428197225,0.0002452284097671509,0.00024626334508260093,8.175293604532877e-05,8.412957191467285e-05,8.464574813842773e-05,8.346160252888997e-05,8.099555969238282e-05
31,1e-05,0,0.5736887855471737,0.5546415597205993,0.5796062000658144,0.584668394594005,0.5717249485854498,0.5778028247700004,0.15393495343831157,0.14394662488729879,0.15515782505387896,0.1541835863974381,0.14605686925945222,0.1506559718072759,0.1588444874230017,0.1456046208308244,0.14936059200360374,0.15107465909927734,0.1553888168809806,0.15205463524753754,0.5546415597205993,0.5796062000658144,0.584668394594005,0.5717249485854498,0.5778028247700004,0.5736887855471737,0.545537128232775,0.5710121189768702,0.5761777995942232,0.5629697516229717,0.5691718774058436,0.5649737351665367,0.0002474345167477926,8.067822456359864e-05,0.0002494347095489502,0.00024939179420471194,0.00024763395388921103,0.00024350653092066447,0.00024720559517542524,7.981340090433756e-05,8.031606674194336e-05,8.194565773010254e-05,8.087714513142904e-05,8.043885231018066e-05
